verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),001,06:00,06:15,0,0,0,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),002,06:15,06:30,0,0,2,,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),003,06:30,06:45,0,0,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),004,06:45,07:00,0,0,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),005,07:00,07:15,0,0,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),006,07:15,07:30,0,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),007,07:30,07:45,0,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),008,07:45,08:00,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),009,08:00,08:15,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),010,08:15,08:30,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),011,08:30,08:45,1,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),012,08:45,09:00,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),013,09:00,09:15,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),014,09:15,09:30,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),015,09:30,09:45,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),016,09:45,10:00,1,0,1,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),017,10:00,10:15,0,0,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),018,10:15,10:30,2,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),019,10:30,10:45,0,0,5,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),020,10:45,11:00,0,0,4,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),021,11:00,11:15,0,0,13,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),022,11:15,11:30,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),023,11:30,11:45,1,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),024,11:45,12:00,4,0,3,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),025,12:00,12:15,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),026,12:15,12:30,0,0,2,,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten (West),027,12:30,12:45,0,0,2,,0,0,0
