verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),002,06:15,06:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),003,06:30,06:45,1,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),004,06:45,07:00,1,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),005,07:00,07:15,3,,0,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),006,07:15,07:30,2,,9,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),007,07:30,07:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),008,07:45,08:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),009,08:00,08:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),010,08:15,08:30,1,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),011,08:30,08:45,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),012,08:45,09:00,1,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),013,09:00,09:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),014,09:15,09:30,2,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),015,09:30,09:45,2,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),016,09:45,10:00,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),017,10:00,10:15,4,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),018,10:15,10:30,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),019,10:30,10:45,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),020,10:45,11:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),021,11:00,11:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),022,11:15,11:30,3,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),023,11:30,11:45,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),024,11:45,12:00,2,,2,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),025,12:00,12:15,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),026,12:15,12:30,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),027,12:30,12:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),028,12:45,13:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),029,13:00,13:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),030,13:15,13:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),031,13:30,13:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),032,13:45,14:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),033,14:00,14:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),034,14:15,14:30,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),035,14:30,14:45,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),036,14:45,15:00,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),037,15:00,15:15,5,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),038,15:15,15:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),039,15:30,15:45,1,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),040,15:45,16:00,2,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),041,16:00,16:15,3,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),042,16:15,16:30,3,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),043,16:30,16:45,2,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),044,16:45,17:00,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),045,17:00,17:15,1,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),046,17:15,17:30,4,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),047,17:30,17:45,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),048,17:45,18:00,3,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),049,18:00,18:15,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),050,18:15,18:30,2,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),051,18:30,18:45,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Thomas-Mann-Straße (W),052,18:45,19:00,0,,6,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),001,06:00,06:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),002,06:15,06:30,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),003,06:30,06:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),004,06:45,07:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),005,07:00,07:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),006,07:15,07:30,0,,2,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),007,07:30,07:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),008,07:45,08:00,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),009,08:00,08:15,0,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),010,08:15,08:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),011,08:30,08:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),012,08:45,09:00,0,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),013,09:00,09:15,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),014,09:15,09:30,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),015,09:30,09:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),016,09:45,10:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),017,10:00,10:15,0,,0,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),018,10:15,10:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),019,10:30,10:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),020,10:45,11:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),021,11:00,11:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),022,11:15,11:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),023,11:30,11:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),024,11:45,12:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),025,12:00,12:15,0,,0,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),026,12:15,12:30,0,,1,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),027,12:30,12:45,1,,3,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),028,12:45,13:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),029,13:00,13:15,0,,1,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),030,13:15,13:30,2,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),031,13:30,13:45,2,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),032,13:45,14:00,1,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),033,14:00,14:15,1,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),034,14:15,14:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),035,14:30,14:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),036,14:45,15:00,1,,2,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),037,15:00,15:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),038,15:15,15:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),039,15:30,15:45,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),040,15:45,16:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),041,16:00,16:15,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),042,16:15,16:30,0,,4,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),043,16:30,16:45,0,,1,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),044,16:45,17:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),045,17:00,17:15,1,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),046,17:15,17:30,0,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),047,17:30,17:45,0,,1,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),048,17:45,18:00,1,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),049,18:00,18:15,0,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),050,18:15,18:30,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),051,18:30,18:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (W),052,18:45,19:00,0,,1,0,0,0,0
6,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (O),001,06:00,06:15,0,,3,0,0,0,0
6,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (O),002,06:15,06:30,0,,3,0,0,0,0
6,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (O),003,06:30,06:45,3,,0,0,0,0,0
6,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Thomas-Mann-Straße (O),004,06:45,07:00,0,,1,0,0,0,0
